Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
90373,Costume Institute,Earrings,Earrings,European,Unknown,1700,1899,metal,"Rogers Fund, 1909",Unknown
96100,Costume Institute,Evening dress,Evening dress,French,Unknown,1966,1967,[no medium available],"Gift of Mrs. William Rand, 1975",Unknown
98251,Costume Institute,Cap,Cap,French,Unknown,1800,1899,wool,Museum Accession,Unknown
100359,Costume Institute,Hat,Hat,French,Unknown,1949,1949,"wool, cotton","Gift of Mary S. Ryan, 1981",Unknown
114490,Costume Institute,Mules,Mules,American,Unknown,1959,1959,"leather, wood, metal glass","Gift of Beth and Herbert Levine, 1977",Unknown
119757,Costume Institute,Gloves,Gloves,French,Unknown,1950,1959,leather,"Gift of Mrs. Stowe C. Phelps, 1980",Unknown
127104,Costume Institute,Ensemble,Ensemble,European,Unknown,1800,1939,"linen, wool","Gift of Miss Irene Lewisohn and Alice Lewisohn Crowley, 1939",Unknown
129839,Costume Institute,Ensemble,Ensemble,British,Unknown,1976,1980,"a) leather; b) leather, metal","Purchase, Richard Martin Bequest and Friends of The Costume Institute Gifts, 2006",Unknown
145237,Costume Institute,Necklace,Necklace,American,Unknown,1967,1967,"synthetic, metal","Gift of Martin F. Price, 2017",Unknown
146150,Costume Institute,Jacket,Jacket,American,Unknown,2003,2004,"leather, wool","Catharine Breyer Van Bomel Foundation Fund, 2008",Unknown
168579,Costume Institute,Chemisette,Chemisette,American,Unknown,1875,1899,Cotton,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Louise M. Coleman, 1941",Unknown
168781,Costume Institute,Fan,Fan,European,Unknown,1776,1799,"Ivory, paper","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of George Arents in memory of Annie Walter Arents, 1949",Unknown
169926,Costume Institute,Undersleeves,Undersleeves,American,Unknown,1848,1852,Linen,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of The Jason and Peggy Westerfield Collection, 1969",Unknown
170041,Costume Institute,Evening shoes,Evening shoes,American,Unknown,1938,1943,"Leather, metallic","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Colonel and Mrs. Horace Figuers, 1973",Unknown
174460,Costume Institute,Ensemble,Ensemble,American,Unknown,1950,1950,Wool,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Albert Ogden in memory of Sheldon Stewart, 1964",Unknown
187639,European Sculpture and Decorative Arts,Knife and fork with case,Knife and fork with case,Greek,Unknown,1700,1750,"Steel, silver, niello; case:  leather, silver, niello","Gift of R. Stuyvesant, 1893",Unknown
190199,European Sculpture and Decorative Arts,Swags,Set of five swags,French,Unknown,1700,1799,Gilt bronze,"Gift of J. Pierpont Morgan, 1906",Unknown
194582,European Sculpture and Decorative Arts,Jug with cover,Jug with cover,German,Unknown,1755,1765,Stoneware,"Gift of Mrs. Robert W. de Forest, 1920",Unknown
198408,European Sculpture and Decorative Arts,Plaque,Marriage of Peleus and Thetis,Italian,Unknown,1570,1580,Bronze,"Samuel D. Lee Fund, 1939",Unknown
200381,European Sculpture and Decorative Arts,Snuffbox,Snuffbox,German,Unknown,1770,1780,Gold,"Bequest of Catherine D. Wentworth, 1948",Unknown
201480,European Sculpture and Decorative Arts,Chess set,Chess set,German,Unknown,1800,1899,Metal,"Gift of Gustavus A. Pfeiffer, 1953",Unknown
203525,European Sculpture and Decorative Arts,Toy,Partridges in wheatsheaf,British,Unknown,1750,1760,Soft-paste porcelain,"Gift of Irwin Untermyer, 1964",Unknown
211642,European Sculpture and Decorative Arts,Souvenir spoon,Souvenir spoon,European,Unknown,1885,1899,Gilt and enamel,"Gift of Sir William H. Redding, in memory of his wife, 1907",Unknown
218086,European Sculpture and Decorative Arts,Border,Border,Italian,Unknown,1600,1699,Needle lace,"Purchase by subscription, 1909",Unknown
218343,European Sculpture and Decorative Arts,Fragment,Fragment,Spanish,Unknown,1800,1815,Machine net,"Purchase by subscription, 1909",Unknown
226057,European Sculpture and Decorative Arts,Borders,Borders,French,Unknown,1700,1815,Needle lace,"Gift of Ann Payne Blumenthal, 1936",Unknown
229526,European Sculpture and Decorative Arts,Panel,Panel,French,Unknown,1775,1780,Silk,"Gift of Mrs. Janet S. Kaffenburgh in memory of her grandmother Mrs. Joseph Garson of Rochester, N.Y., 1976",Unknown
